# Termux aarch64 packages composing app/src/main/assets/tshark-prefix.zip
# Regenerated by scripts/build-tshark-bundle.sh; do not edit by hand.
# The SHA-256 is the repository index's, verified against the downloaded
# .deb at build time; a later rebuild that sees the same version with a
# different hash fails rather than bundling it.
# package	version	sha256	source
attr	2.6.0	50a4d1238564a49985d398061ef61a0020348ddc84bd296e6450c5f0bdca2435	https://packages.termux.dev/apt/termux-main/pool/main/a/attr/attr_2.6.0_aarch64.deb
brotli	1.2.0	db1502601d40fb44e6085ad8bfd9311a8b472e98db831ceec9d404c5708bb52c	https://packages.termux.dev/apt/termux-main/pool/main/b/brotli/brotli_1.2.0_aarch64.deb
c-ares	1.34.8	7681fc23e822d7988ba8b2adf3468f93ae68f724dda365cff1385096a9fa87e6	https://packages.termux.dev/apt/termux-main/pool/main/c/c-ares/c-ares_1.34.8_aarch64.deb
ca-certificates	1:2026.08.13	8e894fb885da738b4ca9a7932703e414d730fa32e78aba33046a747822547d5a	https://packages.termux.dev/apt/termux-main/pool/main/c/ca-certificates/ca-certificates_1:2026.08.13_all.deb
gdbm	1.26-1	c378de833aae3cf41f3028491ea11836479d9833ab653edc27d0c0e0e691d5c5	https://packages.termux.dev/apt/termux-main/pool/main/g/gdbm/gdbm_1.26-1_aarch64.deb
glib	2.90.0	fee438e69505cda78f29e6662afb04613947f56db3e8d1557f25a0a5c3ea7c9c	https://packages.termux.dev/apt/termux-main/pool/main/g/glib/glib_2.90.0_aarch64.deb
libandroid-glob	0.6-3	2276ae8adedf0db76c2f4ffc94cc4cceb2f4f5d78e021b54e2e046d1233e7826	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-glob/libandroid-glob_0.6-3_aarch64.deb
libandroid-posix-semaphore	0.1-4	0efa8677a0166315ba4e685863712eba0ca0a1732827492f38226e2723730c7a	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-posix-semaphore/libandroid-posix-semaphore_0.1-4_aarch64.deb
libandroid-support	29-1	f2f145d6135ad4843ac9670153be3e3944dc1e6f1736d46d2306c28f2b86f517	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-support/libandroid-support_29-1_aarch64.deb
libbz2	1.0.8-8	4335d7f060650b0aabef545d1334c2f9f280223d5962e13c24a00ec934b794ba	https://packages.termux.dev/apt/termux-main/pool/main/libb/libbz2/libbz2_1.0.8-8_aarch64.deb
libc++	29	bb9f12113c137aa0e8513bb51cc49fe77a5ce3ca39ab9e92c57d228ecdf00222	https://packages.termux.dev/apt/termux-main/pool/main/libc/libc++/libc++_29_aarch64.deb
libcap	2.78	50c530c845288b135dbe4690f8c19ee8ef1c6bb554be4421828eeee9c1f7f89c	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcap/libcap_2.78_aarch64.deb
libcap-ng	2:0.9.6	68e8e2a95e5ac061e40717654fe2014042d88bfa2b85455713ed992eb694f89d	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcap-ng/libcap-ng_2:0.9.6_aarch64.deb
libcrypt	0.2-6	6c283eed576b98cc3568f99638156f8588f77d979579d03bef8683d6eb8601e1	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcrypt/libcrypt_0.2-6_aarch64.deb
libevent	2.1.13	cf99e8e6cd1218c0e4956d2ee69efbb26520211b3e03407463eac9016fe55f25	https://packages.termux.dev/apt/termux-main/pool/main/libe/libevent/libevent_2.1.13_aarch64.deb
libexpat	2.8.4	71934cf00b404627702034bd1308cb58353dd851d9a2d3ecd9205b4ae6a67a27	https://packages.termux.dev/apt/termux-main/pool/main/libe/libexpat/libexpat_2.8.4_aarch64.deb
libffi	3.8.0	4f255badf74cd31f6a2801c17fa1444199c84c834b517b7c843e2fe9ebe91d77	https://packages.termux.dev/apt/termux-main/pool/main/libf/libffi/libffi_3.8.0_aarch64.deb
libgcrypt	1.12.3	6a4fc21f6b4a76ccc0535af3a3076175a7d8804ea40b1d2868a265c31fe4a28c	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgcrypt/libgcrypt_1.12.3_aarch64.deb
libgmp	6.3.0-2	5a3c1325638946ca212ddcb89bffb2c4459b4c90757d6e69f820e176534037fa	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgmp/libgmp_6.3.0-2_aarch64.deb
libgnutls	3.8.13-1	eb12f2cf82923caf288edd99bc4c19a9dd0cf1de4a03855ff4457a1bbdae146d	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgnutls/libgnutls_3.8.13-1_aarch64.deb
libgpg-error	1.61	452afa22fe36e4d79679e91eae6e22855dd1f855e2a7e1840736279b26611d8f	https://packages.termux.dev/apt/termux-main/pool/main/libg/libgpg-error/libgpg-error_1.61_aarch64.deb
libiconv	1.18-1	b19e6f348034bb48d2a5590b5cb242769f682c476717374d134d004cc663dc84	https://packages.termux.dev/apt/termux-main/pool/main/libi/libiconv/libiconv_1.18-1_aarch64.deb
